Entrez Gene ID	UniProtKB/Swiss-Prot ID	STRING ID	Gene ID	Gene Symbol	Ensembl ID	Longevity Influence
176869	G5EE01	6239.T07A9.6	161	daf-18	T07A9.6	pro
174577	Q09555	6239.F33H1.1b	162	daf-19	F33H1.1	anti
191014	Q9NEK7	6239.Y116F11B.1	164	daf-28	Y116F11B.1	pro
176138	P34529	6239.K12H4.8	1858	dcr-1		pro
179741	Q21929	6239.R11D1.11	913	dhs-21	R11D1.11	pro
173128	O01700	6239.F33E2.2a	181	dlk-1	F33E2.2	pro
175492	P48996	6239.R13G10.1	1784	dpy-27		pro
175072	Q9U298	6239.Y48B6A.4	204	eat-2	Y48B6A.4	anti
174476	Q18965	6239.D2013.5	205	eat-3	D2013.5	anti
179796	P90735	6239.B0365.3.1	206	eat-6	B0365.3	anti
181423	P54688	6239.K02A4.1	2112	bcat-1		anti
179412	G5ECN9	6239.C51E3.7a	212	egl-3	C51E3.7	anti
176991	O76360	6239.F55A8.2h.1	213	pkg-1	F55A8.2	anti
178537	G5EBH0	6239.B0348.4b	920	egl-8	B0348.4	anti
179461	G5EBV0	6239.F22E12.4a.2	921	egl-9	F22E12.4	anti
179707	P49809	6239.F28C1.2b	211	egl-10	F28C1.2	anti
174121	Q09228	6239.C04A2.3a	1790	egl-27		pro
171751	G5EGU1	6239.M01D7.7a	919	egl-30	M01D7.7	anti
176094	P34339	6239.C27D11.1	214	egl-45	C27D11.1	anti
174478	Q18967	6239.D2013.7	218	eif-3.F	D2013.7	anti
179779	Q9XUP3	6239.T16G1.11	2091	eif-3.K		anti
190775	Q9BKS1	6239.Y82E9BR.15	2097	elc-1		anti
177787	G5EEE5	6239.F56H11.4a	2067	elo-1		anti
178532	Q9XVQ9	6239.F11E6.5	2068	elo-2		anti
174314	G5EG38	6239.F10B5.6	1768	emb-27		anti
176868	O44406	6239.T07A9.5b	922	eri-1	T07A9.5	pro
173325	Q7YTU4	6239.Y105E8B.8c	225	ero-1	Y105E8B.8	anti
173069	G5EBR7	6239.R09B3.1a.1	924	exo-3	R09B3.1	pro
177819	G5EG11	6239.T13F2.1a.1	2069	fat-4		anti
179100	G5EGH6	6239.F10D2.9	278	fat-7	F10D2.9	pro
181348	Q20655	6239.F52D10.3a.1	288	ftt-2	F52D10.3	pro
266859	Q09373	6239.ZK177.6	941	fzy-1	ZK177.6	anti
191644	N1NVB7	6239.B0024.6b	297	gcy-6	B0024.6	anti
178237	G5EFQ0	6239.ZK896.8	1961	gcy-18		anti
176286	P13508	6239.F02A9.6	308	glp-1	F02A9.6	anti
172505	P51875	6239.C26C6.2	942	goa-1	C26C6.2	pro
179219	P22454	6239.F38E1.5	313	gpa-2	F38E1.5	pro
179319	P28052	6239.E02C12.5	314	gpa-3	E02C12.5	pro
179075	Q9BIG4	6239.C55H1.2	310	gpa-10	C55H1.2	pro
173759	O76584	6239.C16A11.1b	311	gpa-11	C16A11.1	pro
181424	P54406	6239.K02A4.2.2	320	gpc-1	K02A4.2	anti
171687	Q7KPV0	6239.R06A10.2.1	943	gsa-1	R06A10.2	pro
187537	Q09596	6239.R03D7.6a	329	gst-5	R03D7.6	pro
178725	Q9N4X8	6239.Y45G12C.2	328	gst-10	Y45G12C.2	pro
177560	G5EC23	6239.C46A5.9	945	hcf-1	C46A5.9	anti
174333	Q18212	6239.C26D10.2a	2094	hel-1		pro
178201	O18017	6239.T04A11.6	640	him-6	T04A11.6	pro
176052	P41848	6239.T20B12.8	1773	hmg-4		anti
180695	Q8MQ70	6239.F20B6.8b	338	hpk-1	F20B6.8	pro
177101	Q22037	6239.F42A6.7d.1	340	hrp-1	F42A6.7	anti
173078	G5EFT5	6239.Y53C10A.12	341	hsf-1	Y53C10A.12	pro
174203	P20163	6239.F43E2.8.1	345	hsp-4	F43E2.8	pro
178873	P11141	6239.C37H5.8	346	hsp-6	C37H5.8	pro
179286	P34696	6239.T27E4.8	342	hsp-16.1	T27E4.8	pro
172099	O01820	6239.F57C9.5	354	htp-3	F57C9.5	anti
171939	G5EFI9	6239.H26D21.1	356	hus-1	H26D21.1	anti
177660	G5ED45	6239.C09G4.1.2	947	hyl-1	C09G4.1	pro
176755	O45551	6239.F53A2.6a	359	ife-1	F53A2.6	anti
180393	Q21693	6239.R04A9.4	360	ife-2	R04A9.4	anti
176373	P34563	6239.T05G5.10a	361	iff-1	T05G5.10	anti
177936	G5EFY8	6239.F13B12.5	369	ins-1	F13B12.5	pro
191688	Q23430	6239.ZK1251.2b	372	ins-7	ZK1251.2	anti
172600	G5ECC6	6239.T28B8.2	370	ins-18	T28B8.2	anti
178101	Q23593	6239.ZK792.2.3	375	inx-8	ZK792.2	anti
191694	Q23594	6239.ZK792.3	376	inx-9	ZK792.3	anti
172488	O62136	6239.F07A5.1b	374	inx-14	F07A5.1	anti
174305	Q09499	6239.C41C4.4a	948	ire-1	C41C4.4	pro
177609	O44512	6239.F42G8.12	379	isp-1	F42G8.12	anti
177546	Q9Y0A1	6239.F33D4.2a	949	itr-1	F33D4.2	pro
177460	Q8WQG9	6239.B0478.1a	381	jnk-1	B0478.1	pro
188761	O02324	6239.T22G5.6	1882	lbp-8		pro
175058	Q9XTB5	6239.W01G7.5	406	lem-2	W01G7.5	pro
174462	P24348	6239.ZK1067.1c	953	let-23	ZK1067.1	pro
172167	Q95Q95	6239.B0261.2a	32	let-363	B0261.2	anti
178970	G5EBZ4	6239.F26F12.7	1906	let-418		anti
172088	P92199	6239.C10H11.9	954	let-502	C10H11.9	pro
178120	Q27394	6239.C29E6.1a.2	408	let-653	C29E6.1	pro
175934	O01737	6239.F20H11.2	473	let-765	F20H11.2	pro
174050	Q09490	6239.C32D5.9	955	lgg-1	C32D5.9	pro
178001	Q03345	6239.F36H1.4f.1	957	lin-3	F36H1.4	pro
174267	P45970	6239.T09A5.10.2	1764	lin-5		anti
172893	P20154	6239.ZC247.3	1821	lin-11		pro
181337	Q21446	6239.T25C12.1a	409	lin-14	T25C12.1	anti
174058	Q09990	6239.K10B2.1	411	lin-23	K10B2.1	pro
172626	P92186	6239.F02E9.2a	2092	lin-28		anti
178788	O61907	6239.T27C4.4a	216	lin-40	T27C4.4	pro
191704	V6CIV8	6239.C05B10.1	2024	lip-1		anti
172687	Q21443	6239.DY3.2.2	414	lmn-1	DY3.2	pro
172037	Q9N4L8	6239.ZK973.10.2	416	lpd-5	ZK973.10	anti
179477	Q22641	6239.T21C9.5a	1945	lpd-9		anti
173944	Q09975	6239.C17G10.5.2	420	lys-8	C17G10.5	pro
173073	P49029	6239.R09B3.5	424	mag-1	R09B3.5	pro
3565400	G5EGQ3	6239.Y38F1A.10c	960	max-2	Y38F1A.10	anti
180942	G5EG44	6239.R03E9.1	1907	mdl-1		anti
171872	Q10664	6239.Y54E10BL.6	2023	mek-2		pro
175634	Q18508	6239.C38D4.3	1772	mel-28		anti
178074	Q21502	6239.M04B2.1	431	mep-1	M04B2.1	pro
181362	G5EBL2	6239.F54F7.5	434	mes-1	F54F7.5	anti
175096	O17514	6239.R06A4.7	2057	mes-2		anti
260040	P41956	6239.T07C4.7.2	435	mev-1	T07C4.7	pro
185682	Q20347	6239.F42G10.2	437	mkk-4	F42G10.2	anti
176050	P41846	6239.T20B12.6a	2161	mml-1		pro
171879	Q9N3C7	6239.Y54E10BR.7	440	mod-5	Y54E10BR.7	pro
175545	P39745	6239.F43C1.2b	961	mpk-1	F43C1.2	pro
175490	Q22712	6239.T24A11.1a	963	mtm-3	T24A11.1	pro
175184	Q9TZ70	6239.F40G9.11	449	mxl-2	F40G9.11	pro
187898	P32739	6239.R107.1b	452	nac-2	R107.1	anti
176429	Q21339	6239.K08E5.2a	453	nac-3	K08E5.2	anti
177551	Q9XYB7	6239.F33D4.1a	1952	nhr-8		pro
181102	O02151	6239.T01B10.4a.2	461	nhr-14	T01B10.4	anti
172460	P41828	6239.C01H6.5a	1780	nhr-23		anti
181432	Q19345	6239.F11C1.6a	1828	nhr-25		pro
172839	O45666	6239.K10C3.6c.1	463	nhr-49	K10C3.6	pro
174242	Q8T5S1	6239.B0495.4	464	nhx-2	B0495.4	anti
184647	Q19569	6239.F18E9.2a	965	nlp-7	F18E9.2	pro
172611	Q22078	6239.T01G9.4	468	npp-2	T01G9.4	pro
174823	Q21436	6239.K12D12.2.1	469	npp-3	K12D12.2	pro
180752	Q18534	6239.C39E6.6	2220	npr-1		anti
172442	Q19722	6239.F22D6.3a	471	nars-1	F22D6.3	anti
181174	Q17778	6239.C07B5.5	475	nuc-1	C07B5.5	anti
174696	Q17880	6239.C09H10.3	476	nuo-1	C09H10.3	anti
172917	Q93560	6239.F25D7.3a	45	blmp-1	F25D7.3	pro
179806	Q18434	6239.C34D1.3	481	odr-3	C34D1.3	anti
181403	P41933	6239.T18D3.2	2061	odr-7		anti
180919	Q21219	6239.K04E7.2.1	482	pept-1	K04E7.2	anti
181715	Q22830	6239.T27B1.1	484	osm-1	T27B1.1	anti
177141	P46873	6239.M02B7.3b	485	osm-3	M02B7.3	anti
180585	G5ED37	6239.Y41G9A.1	486	osm-5	Y41G9A.1	anti
179631	G5EDF6	6239.R31.3	487	osm-6	R31.3	anti
172920	Q9U302	6239.Y106G6H.2a.2	490	pab-1	Y106G6H.2	anti
178113	P41932	6239.M117.2a.2	493	par-5	M117.2	pro
175504	Q27874	6239.ZK1058.2	1786	pat-3		pro
175175	Q9TZC4	6239.C29F9.7	494	pat-4	C29F9.7	anti
176848	O16785	6239.T21D12.4	495	pat-6	T21D12.4	anti
172127	G5EF37	6239.F54C1.7.1	1957	pat-10		pro
178981	Q27873	6239.C10F3.5a	969	pcm-1	C10F3.5	pro
180475	Q9Y1J3	6239.H42K12.1b	499	pdk-1	H42K12.1	anti
180808	Q20025	6239.F35C8.6	501	pfn-2	F35C8.6	anti
177461	Q9TZQ3	6239.ZK381.4b	502	pgl-1	ZK381.4	anti
180357	Q17381	6239.F38A6.1a	503	pha-4	F38A6.1	pro
171768	Q9BKU4	6239.Y37E3.9	970	phb-1	Y37E3.9	pro
174034	P50093	6239.T24H7.1	971	phb-2	T24H7.1	pro
266823	Q9N4H4	6239.Y71F9AL.18	1757	pme-1		anti
179224	G5EF15	6239.F52E1.1	513	pos-1	F52E1.1	anti
174392	Q18426	6239.C34C6.6a	520	prx-5	C34C6.6	anti
173362	G5EE13	6239.ZK270.1	521	ptr-23	ZK270.1	pro
172755	P91857	6239.F26H9.6	975	rab-5	F26H9.6	pro
174834	Q23146	6239.W03C9.3.2	530	rab-7	W03C9.3	pro
266836	Q94148	6239.T23H2.5.2	651	rab-10	T23H2.5	anti
175788	P53806	6239.F54E7.7	2228	rcan-1		anti
178295	Q9XUB3	6239.W02A2.6a	1932	rec-8		anti
175532	Q09463	6239.C16C10.7	553	rnf-5	C16C10.7	anti
175525	P42170	6239.C03C10.3	1765	rnr-2		anti
172074	O02056	6239.B0041.4	559	rpl-4	B0041.4	anti
176071	Q95Y90	6239.R13A5.8	560	rpl-9	R13A5.8	anti
172201	O02639	6239.C09D4.5.1	557	rpl-19	C09D4.5	anti
172921	Q9XWS4	6239.Y106G6H.3a	558	rpl-30	Y106G6H.3	anti
175972	Q20938	6239.F57B9.10a	1761	rpn-6.1		pro
173260	Q9NEN6	6239.Y71A12B.1a	573	rps-6	Y71A12B.1	anti
172061	O01869	6239.D1007.6.2	565	rps-10	D1007.6	anti
178083	Q20206	6239.F40F11.1.2	566	rps-11	F40F11.1	anti
172693	Q9XVP0	6239.F36A2.6.1	567	rps-15	F36A2.6	anti
175338	O17218	6239.F53A3.3a.3	568	rps-22	F53A3.3	anti
173342	O45499	6239.F39B2.6.2	570	rps-26	F39B2.6	anti
175659	Q19825	6239.F26F4.10a.1	2046	rars-1		anti
176512	G5EEK8	6239.K11D9.2a	587	sca-1	K11D9.2	anti
179054	O76411	6239.T10H9.2	588	scd-2	T10H9.2	pro
186053	Q20608	6239.F49E11.9	591	scl-1	F49E11.9	pro
181055	P29355	6239.C14F5.5	596	sem-5	C14F5.5	anti
181716	O17470	6239.F59C12.2a	597	ser-1	F59C12.2	anti
175322	G5EGH0	6239.Y22D7AR.13	598	ser-4	Y22D7AR.13	pro
175662	Q18221	6239.C26E6.9c	977	set-2	C26E6.9	anti
181697	Q2PJ68	6239.W10G6.2b	599	sgk-1	W10G6.2	anti
176805	G5EEV9	6239.ZK520.2	785	sid-2	ZK520.2	anti
176471	Q20363	6239.F43D9.4	1960	sip-1		pro
177924	Q21921	6239.R11A8.4a	604	sir-2.1	R11A8.4	pro
177343	P34707	6239.T19E7.2a	612	skn-1	T19E7.2	pro
172775	G5ECU1	6239.F46A9.5.3	613	skr-1	F46A9.5	pro
172773	G5EDD8	6239.F46A9.4	614	skr-2	F46A9.4	pro
180148	Q9XU27	6239.F47H4.10	981	skr-5	F47H4.10	anti
172418	O01510	6239.C48B6.6a	983	smg-1	C48B6.6	anti
174141	P34697	6239.C15F1.7a	984	sod-1	C15F1.7	anti
172137	Q9N5A0	6239.Y110A7A.12	662	spe-5	Y110A7A.12	anti
171915	Q9N3T5	6239.Y47G6A.10	753	spg-7	Y47G6A.10	anti
181255	Q21049	6239.F59F5.6	638	syd-2	F59F5.6	pro
174726	Q22743	6239.T24F1.1	2062	raga-1		anti
176773	O45865	6239.T27E9.1a.1	666	ant-1.1	T27E9.1	anti
180049	O17850	6239.F28F8.6.1	1758	atx-3		anti
175474	Q17963	6239.C14B1.4	1000	wdr-5.1	C14B1.4	anti
174436	D0VWM8	6239.F44G4.4c	1751	tdp-1		anti
175913	Q11182	6239.C05D11.2	719	vps-16	C05D11.2	pro
183860	D7SFK1	6239.C56E6.1	657	abcx-1	C56E6.1	anti
176297	Q03611	6239.ZC84.2	668	tax-4	ZC84.2	anti
177943	Q0G819	6239.C02F4.2c	669	tax-6	C02F4.2	anti
175519	P52275	6239.C36E8.5.1	2036	tbb-2		anti
176054	P32085	6239.T20B12.2.2	991	tbp-1	T20B12.2	pro
176825	P34722	6239.B0545.1a	680	tpa-1	B0545.1	anti
174790	P52709	6239.C47D12.6a	684	tars-1	C47D12.6	anti
180313	Q9U2Z0	6239.Y113G7A.6a	1741	ttx-1	Y113G7A.6	pro
181357	G5EE86	6239.C40H5.5a	994	ttx-3	C40H5.5	pro
174312	Q09306	6239.F10B5.4	689	tub-1	F10B5.4	anti
177073	Q95XX0	6239.Y54G2A.31	692	ubc-13	Y54G2A.31	pro
179039	Q9UAV3	6239.F46E10.8	693	ubh-1	F46E10.8	pro
259626	Q965V9	6239.Y40G12A.1	694	ubh-3	Y40G12A.1	pro
174289	Q09444	6239.C08B11.7	58	ubh-4	C08B11.7	anti
3565860	Q19584	6239.F19B6.2a	698	ufd-1	F19B6.2	pro
175704	Q09353	6239.T10F2.3	699	ulp-1	T10F2.3	pro
180990	Q22366	6239.T10A3.1a	701	unc-10	T10A3.1	anti
172497	P27715	6239.ZK524.2d	702	unc-13	ZK524.2	anti
178284	G5ECL2	6239.JC8.10b	703	unc-26	JC8.10	anti
178233	Q23658	6239.ZK897.1i	704	unc-31	ZK897.1	anti
176257	P30628	6239.ZK637.8a	705	unc-32	ZK637.8	anti
176155	P34374	6239.C50C3.9a	2229	unc-36		anti
175126	Q06561	6239.ZC101.2e	707	unc-52	ZC101.2	anti
178845	Q9N5D6	6239.T28F12.2a	709	unc-62	T28F12.2	anti
179033	Q23064	6239.W01A11.3a	712	unc-83	W01A11.3	anti
173794	O61460	6239.M03A1.1b	997	vab-1	M03A1.1	pro
174743	G5EGP4	6239.VW02B12L.1.1	715	vha-6	VW02B12L.1	anti
181321	Q19213	6239.F08G12.4	998	vhl-1	F08G12.4	anti
176635	Q9U229	6239.Y56A3A.32a	1943	wah-1		anti
176237	P34447	6239.F54F2.2a.2	782	zfp-1	F54F2.2	pro
171647	Q9N2Z7	6239.Y65B4BR.4a	733	wwp-1	Y65B4BR.4	pro
175817	Q21955	6239.R12B2.5a.1	2026	mdt-15		pro
172896	O45797	6239.T20F10.1	658	wts-1	T20F10.1	anti
175559	P46551	6239.B0285.1b	1783	cdtl-7		pro
174472	Q17577	6239.C01G6.7	901	acs-7	C01G6.7	anti
174624	P54811	6239.C06A1.1	1759	cdc-48.1		anti
181537	Q17911	6239.C11H1.3	60	C11H1.3	C11H1.3	pro
182565	O01931	6239.C13C4.2	462	nhr-154	C13C4.2	anti
178245	Q9XUH3	6239.C32H11.12	194	dod-24	C32H11.12	anti
181370	O17680	6239.C49F5.1.1	584	sams-1	C49F5.1	anti
181371	O17679	6239.C49F5.2	979	set-6	C49F5.2	pro
172518	P90794	6239.D2030.9a.1	154	wdr-23	D2030.9	anti
179331	G5EFF9	6239.F11A3.2a	925	CELE_F11A3.2	F11A3.2	anti
173041	Q9XVQ2	6239.F15D3.7	1946	timm-23		pro
172939	Q93576	6239.F25H2.5.1	2114	ndk-1		anti
179592	Q20010	6239.F35B12.5a	585	sas-5	F35B12.5	anti
181574	Q93703	6239.F42D1.2	2008	tatn-1		anti
185704	O17869	6239.F43D2.1	258	CELE_F43D2.1	F43D2.1	pro
180080	O45518	6239.F44G3.2	2107	argk-1		pro
174590	Q20748	6239.F54B3.3	2012	atad-3		anti
178247	Q9XUE0	6239.F55G11.5a	192	dod-22	F55G11.5	anti
173134	Q9XXK1	6239.H28O16.1a	331	H28O16.1	H28O16.1	anti
177895	Q21215	6239.K04D7.1.3	2053	rack-1		anti
172584	Q21230	6239.K04G2.1.1	384	iftb-1	K04G2.1	anti
187266	O45667	6239.K10D11.1	187	dod-17	K10D11.1	anti
176525	O45962	6239.M142.6a	552	rle-1	M142.6	anti
174683	Q09413	6239.R03D7.4	972	CELE_R03D7.4	R03D7.4	anti
174623	Q8I113	6239.R166.5b	438	mnk-1	R166.5	pro
180366	Q9XTY3	6239.T03D8.3	586	sbt-1	T03D8.3	pro
174265	P45968	6239.T09A5.8	644	cec-3	T09A5.8	anti
176434	P34574	6239.T20G5.1	909	chc-1	T20G5.1	pro
181499	Q94071	6239.T21H8.1b.1	648	hlb-1	T21H8.1	pro
172950	U4PRH5	6239.T22A3.5a	1936	pash-1		pro
180121	O45818	6239.T25E12.4f	180	dkf-2	T25E12.4	anti
189055	Q9XUC2	6239.T28F3.6	363	ifta-2	T28F3.6	anti
173237	Q9U329	6239.W09C5.8	729	CELE_W09C5.8	W09C5.8	anti
174838	G5EFZ3	6239.Y17G7B.2b	892	ash-2	Y17G7B.2	anti
178084	G5EGB3	6239.Y24F12A.2	2063	ragc-1		anti
176707	P55954	6239.Y37D8A.14	96	cco-2	Y37D8A.14	anti
189783	Q9XW26	6239.Y40B1A.4	987	sptf-3	Y40B1A.4	pro
189848	Q9XXF1	6239.Y43C5A.3	1004	Y43C5A.3	Y43C5A.3	anti
176554	Q9NAH6	6239.Y47D3A.16	578	rsks-1	Y47D3A.16	anti
175080	Q9U297	6239.Y48B6A.11	2058	jmjd-2		anti
190025	O18195	6239.Y48E1B.1	173	ddl-2	Y48E1B.1	anti
178463	Q9U263	6239.Y51H4A.12	2056	set-26		anti
175018	Q9XWH0	6239.Y54G9A.6	900	bub-3	Y54G9A.6	anti
190339	Q9NA80	6239.Y57A10A.20	602	sinh-1	Y57A10A.20	anti
181215	G5EFH8	6239.ZC373.1a	1973	cbs-1		pro
179922	Q23272	6239.ZC376.7a.2	1938	atfs-1		anti
3565022	Q9U1N6	6239.ZK792.8	896	atg-4.2	ZK792.8	pro
178238	O02343	6239.ZK896.7	788	clec-186	ZK896.7	anti
181863	Q09433	6239.B0228.5a	31	trx-1	B0228.5	pro
180579	H2KY90	6239.B0410.2a	1752	vang-1		anti
181719	Q17740	6239.C06G1.4	9	ain-1	C06G1.4	pro
173389	P91079	6239.C23H3.4a.2	1920	sptl-1		anti
174045	Q09265	6239.C32D5.5	978	set-4	C32D5.5	anti
172966	O44952	6239.C34B2.6	2028	C34B2.6		anti
178619	Q9UAQ3	6239.C39F7.2a	81	trim-9	C39F7.2	anti
178944	O44158	6239.CD4.4	102	vps-37	CD4.4	pro
181110	A0A131MBT2	6239.D2021.1	1749	utx-1		anti
177243	P19974	6239.E04A4.7.1	200	cyc-2.1	E04A4.7	anti
174181	Q19058	6239.E04F6.3	201	maoc-1	E04F6.3	anti
181019	Q19202	6239.F08C6.6	889	apy-1	F08C6.6	pro
180708	Q9NB31	6239.F14H12.4b	140	cst-1	F14H12.4	pro
177196	O44498	6239.F15E6.1	235	set-9	F15E6.1	anti
174238	Q19537	6239.F18A1.5	1779	rpa-1		anti
174019	Q09309	6239.F21H12.1	238	F21H12.1	F21H12.1	anti
174004	Q19848	6239.F28B12.3.1	721	vrk-1	F28B12.3	pro
179243	H2KYN6	6239.F41E6.4a	616	smk-1	F41E6.4	pro
185653	Q27499	6239.F42A9.5	147	cyp-33E2	F42A9.5	anti
3565745	Q9TYT3	6239.F54A5.3a	980	shc-1	F54A5.3	pro
175404	Q9TZ64	6239.F56F11.3.1	1970	klf-1		pro
172376	G5EFZ1	6239.F57B10.3a	271	F57B10.3	F57B10.3	anti
177386	Q20992	6239.F58F9.7.1	938	F58F9.7	F58F9.7	anti
173954	O01901	6239.F59E12.10	172	ddl-1	F59E12.10	anti
177358	G5ECS4	6239.H04M03.4	306	glf-1	H04M03.4	pro
173525	O44827	6239.H17B01.1b	1912	fgt-1		anti
176233	P83351	6239.K02D10.5	1789	snap-29		pro
179046	Q94252	6239.K04A8.5	1881	lipl-4		pro
177238	Q94263	6239.K08F11.5	2095	miro-1		anti
175708	Q09408	6239.K10D2.2	390	pup-2	K10D2.2	anti
175707	Q09409	6239.K10D2.3	391	cid-1	K10D2.3	anti
180769	G5EBH7	6239.M03F4.7a	88	calu-1	M03F4.7	pro
176183	P34544	6239.R05D3.11	2147	met-2		pro
178602	O61931	6239.R09A1.1	2232	ergo-1		anti
187813	Q9TYX6	6239.R11E3.4	527	set-15	R11E3.4	anti
172051	Q86GV3	6239.T01A4.1c	296	gcy-28	T01A4.1	anti
181727	Q95ZQ4	6239.T01C8.1b	1	aak-2	T01C8.1	pro
172363	Q86NC2	6239.T10E9.7a	477	nuo-2	T10E9.7	anti
176023	Q22619	6239.T20H4.5	646	T20H4.5	T20H4.5	anti
176849	Q965M2	6239.T21D12.9a.2	982	sma-10	T21D12.9	anti
173437	Q9TYV5	6239.W07E6.1	727	nol-1	W07E6.1	anti
175247	Q8WTM6	6239.Y6D11A.2	16	arx-4	Y6D11A.2	pro
259368	Q95XA8	6239.Y20F4.2	1001	crtc-1	Y20F4.2	anti
176833	Q9N426	6239.Y38C1AA.3a	741	pnc-1	Y38C1AA.3	pro
3565323	Q95XZ6	6239.Y43H11AL.2	749	Y43H11AL.2	Y43H11AL.2	anti
176921	Q9N369	6239.Y55F3AM.4a	894	atg-3	Y55F3AM.4	pro
171739	Q95XN0	6239.Y71G12B.9a	2146	lin-65		pro
171735	Q3V5I7	6239.Y71G12B.12a.2	897	atg-5	Y71G12B.12	pro
172054	Q95Y80	6239.Y119C1B.8a	664	bet-1	Y119C1B.8	pro
178564	O61874	6239.ZK6.10	189	dod-19	ZK6.10	anti
180398	Q86MI0	6239.ZK1193.5a	915	dve-1	ZK1193.5	pro
